2021-07-11 18:03:58 HKT 日志:  数据库系统中断；上一次的启动时间是在2021-07-11 18:01:21 HKT
2021-07-11 18:03:58 HKT 致命错误:  数据库系统启动中
2021-07-11 18:03:59 HKT 致命错误:  数据库系统启动中
2021-07-11 18:04:00 HKT 日志:  数据库系统没有正确的关闭; 处于自动恢复状态中
2021-07-11 18:04:00 HKT 日志:  redo 在 0/CB97730 开始
2021-07-11 18:04:00 HKT 日志:  0/CB97FA0处的记录长度不合法
2021-07-11 18:04:00 HKT 日志:  redo 在 0/CB97F78 完成
2021-07-11 18:04:00 HKT 日志:  上一次完成事务是在日志时间2021-07-11 18:03:07.233223+08完成的.
2021-07-11 18:04:00 HKT 日志:  多事务成员回卷保护现在被启用。
2021-07-11 18:04:00 HKT 日志:  数据库系统准备接受连接
2021-07-11 18:04:00 HKT 日志:  已启动autovacuum
